"Order";"LIV_CAL_03";"LIV_ISO_01";"LIV_SON_01";"PAL_COS_03";"PAL_RIB_03";"PAL_SPA_01";"ROV_BAG_01";"ROV_FIG_02";"ROV_SAN_03"
"Amphilepidida";"70";"111";"67";"30";"147";"12";"71";"91";"101"
"Amphipoda";"3";"13";"6";"78";"5";"35";"249";"57";"230"
"Aspidochirotida";"3";"33";"8";"0";"0";"0";"2";"0";"2"
"Calanoida";"0";"0";"0";"1";"0";"0";"0";"5";"1"
"Camarodonta";"1";"0";"10";"33";"1";"187";"0";"3";"0"
"Cyclopoida";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"Decapoda";"184";"8";"102";"47";"52";"35";"139";"77";"123"
"Eunicida";"71";"91";"110";"43";"70";"16";"87";"41";"123"
"Galeommatida";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Lepetellida";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Limoida";"329";"341";"89";"489";"296";"538";"290";"230";"223"
"Littorinimorpha";"0";"0";"7";"2";"0";"0";"0";"2";"0"
"Myida";"5";"2";"3";"0";"3";"0";"5";"9";"7"
"Mytilida";"0";"14";"0";"8";"0";"3";"1";"6";"1"
"Neogastropoda";"4";"0";"14";"0";"8";"0";"7";"1";"2"
"Ostreida";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Pantopoda";"0";"0";"1";"0";"3";"2";"0";"8";"0"
"Pectinida";"0";"0";"0";"0";"0";"0";"1";"12";"0"
"Phyllodocida";"894";"1036";"1164";"762";"706";"777";"705";"602";"727"
"Poecilostomatoida";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Pterioida";"0";"0";"0";"0";"0";"0";"0";"15";"0"
"Runcinacea";"0";"0";"0";"3";"2";"0";"0";"0";"0"
"Sabellida";"46";"0";"3";"1";"2";"27";"0";"0";"1"
"Spatangoida";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Tanaidacea";"3";"3";"0";"0";"0";"0";"0";"0";"0"
"Terebellida";"0";"0";"0";"1";"0";"1";"4";"3";"0"
"Trochida";"0";"0";"0";"0";"5";"0";"0";"0";"0"
"Valvatida";"0";"0";"0";"1";"0";"0";"0";"3";"0"