Genus;LIV_CAL_03;LIV_ISO_01;LIV_SON_01;PAL_COS_03;PAL_RIB_03;PAL_SPA_01;ROV_BAG_01;ROV_FIG_02;ROV_SAN_03
Amblyosyllis;0;0;0;0;2;0;3;0;0
Amphipholis;35;59;7;5;118;0;4;3;3
Amphiura;4;1;0;16;7;2;33;2;6
Aplus;4;0;14;0;1;0;4;1;2
Asterina;0;0;0;1;0;0;0;3;0
Athanas;1;0;5;1;2;6;43;12;5
Bittium;3;0;16;18;0;0;6;0;2
Branchiomma;11;0;2;1;0;27;0;0;1
Caecum;0;0;3;0;0;0;0;1;0
Calcinus;0;0;0;0;10;0;0;0;0
Callipallene;0;0;1;0;3;2;0;8;0
Ceratonereis;1;0;1;5;3;1;3;4;0
Chaetopterus;0;0;0;0;0;1;0;0;0
Chondrochelia;3;3;0;0;0;0;0;0;0
Chrysopetalum;379;202;366;140;100;73;93;78;88
Dorvillea;30;77;74;13;12;0;45;4;11
Echinocardium;0;0;0;0;0;0;0;0;2
Episcomitra;0;0;0;0;7;0;0;0;0
Eualus;2;1;1;7;0;4;7;4;3
Eunice;8;5;7;23;15;16;4;1;47
Eurynome;13;0;48;12;25;15;0;2;0
Eusyllis;158;358;346;205;128;266;40;155;87
Galathea;0;0;0;0;8;0;0;0;0
Genocidaris;1;0;0;30;1;182;0;0;0
Glycera;2;5;5;0;1;1;0;4;0
Haliotis;0;0;2;0;0;0;0;0;0
Harmothoe;0;1;0;0;2;1;0;0;8
Hesiospina;251;365;371;311;96;375;551;272;499
Hiatella;5;2;3;0;3;0;5;9;7
Holothuria;3;33;8;0;0;0;2;0;2
Homalopoma;0;0;0;0;5;0;0;0;0
Isias;0;0;0;1;0;0;0;0;1
Kellia;0;0;0;0;0;0;1;0;0
Leodice;8;7;3;0;0;0;0;0;1
Lima;0;2;0;0;0;0;0;0;0
Limaria;329;339;89;489;296;538;290;230;223
Lysidice;25;2;26;7;43;0;38;36;64
Mimachlamys;0;0;0;0;0;0;1;12;0
Modiolus;0;0;0;8;0;2;1;1;1
Monocorophium;3;13;0;78;5;34;249;57;230
Musculus;0;14;0;0;0;1;0;5;0
Myrianida;5;5;3;13;98;29;1;6;5
Nudisyllis;3;0;2;0;0;1;0;0;0
Ocinebrina;0;0;0;0;0;0;3;0;0
Octobranchus;0;0;0;1;0;1;0;3;0
Odontosyllis;0;0;0;0;0;0;0;0;1
Oithona;0;0;0;0;0;0;0;1;1
Onychocorycaeus;0;0;0;0;1;0;0;0;0
Ophiacantha;31;51;60;9;22;10;34;86;92
Ostrea;0;0;0;0;0;1;0;0;0
Paracalanus;0;0;0;0;0;0;0;5;0
Paracentrotus;0;0;10;3;0;5;0;3;0
Periclimenes;0;0;1;0;0;0;0;0;0
Phyllodoce;0;0;1;0;0;1;0;2;0
Pilumnus;6;0;0;15;0;4;21;38;72
Pinna;0;0;0;0;0;0;0;15;0
Pisidia;2;4;0;3;1;1;65;19;13
Platynereis;0;0;1;0;104;0;0;1;1
Polycirrus;0;0;0;0;0;0;4;0;0
Proceraea;4;0;0;1;2;0;0;2;0
Pseudosyllis;0;0;11;0;0;0;0;0;0
Pterocirrus;7;0;0;0;0;0;0;0;0
Runcina;0;0;0;3;2;0;0;0;0
Sabellaria;0;0;0;0;2;0;0;0;0
Socarnes;0;0;6;0;0;1;0;0;0
Syllides;0;0;0;0;2;1;0;0;0
Syllidia;54;26;23;78;60;15;5;13;6
Syllis;0;0;2;1;9;0;0;6;8
Synalpheus;160;3;47;9;6;5;3;2;30
Vermiliopsis;35;0;1;0;0;0;0;0;0
Vitreolina;0;0;4;2;0;0;0;1;0