Species;LIV_CAL_03;LIV_ISO_01;LIV_SON_01;PAL_COS_03;PAL_RIB_03;PAL_SPA_01;ROV_BAG_01;ROV_FIG_02;ROV_SAN_03
Amblyosyllis madeirensis;0;0;0;0;2;0;3;0;0
Amphipholis squamata;35;59;7;5;118;0;4;3;3
Aplus dorbignyi;4;0;14;0;1;0;4;1;2
Asterina gibbosa;0;0;0;1;0;0;0;3;0
Athanas nitescens;1;0;5;1;2;6;43;12;5
Bittium latreillii;1;0;15;0;0;0;0;0;0
Bittium reticulatum;2;0;1;18;0;0;6;0;2
Branchiomma bombyx;11;0;2;1;0;27;0;0;1
Caecum trachea;0;0;3;0;0;0;0;1;0
Calcinus tubularis;0;0;0;0;10;0;0;0;0
Callipallene brevirostris;0;0;1;0;3;2;0;8;0
Chaetopterus variopedatus;0;0;0;0;0;1;0;0;0
Chondrochelia savignyi;3;3;0;0;0;0;0;0;0
Chrysopetalum debile;379;202;366;140;100;73;93;78;88
Dorvillea rubrovittata;30;77;74;13;12;0;45;4;11
Echinocardium cordatum;0;0;0;0;0;0;0;0;2
Episcomitra cornicula;0;0;0;0;7;0;0;0;0
Eualus occultus;0;1;0;6;0;2;6;1;3
Eunice vittata;8;5;7;23;15;16;4;1;47
Eurynome spinosa;13;0;48;12;25;15;0;2;0
Eusyllis assimilis;11;50;1;6;34;3;0;0;4
Eusyllis lamelligera;147;308;345;199;94;263;40;155;83
Galathea squamifera;0;0;0;0;8;0;0;0;0
Genocidaris maculata;1;0;0;30;1;182;0;0;0
Glycera tesselata;2;5;5;0;1;1;0;4;0
Gyptis propinqua;6;26;8;0;4;1;5;1;2
Haliotis tuberculata;0;0;2;0;0;0;0;0;0
Harmothoe extenuata;0;1;0;0;0;0;0;0;1
Harmothoe fraserthomsoni;0;0;0;0;0;0;0;0;7
Harmothoe impar;0;0;0;0;2;1;0;0;0
Hesiospina aurantiaca;251;365;371;311;96;375;551;272;499
Hiatella arctica;5;2;3;0;3;0;5;9;7
Holothuria (Holothuria) mammata;3;33;0;0;0;0;0;0;2
Holothuria (Holothuria) tubulosa;0;0;7;0;0;0;0;0;0
Holothuria (Roweothuria) poli;0;0;1;0;0;0;2;0;0
Homalopoma sanguineum;0;0;0;0;5;0;0;0;0
Isias clavipes;0;0;0;1;0;0;0;0;1
Kellia suborbicularis;0;0;0;0;0;0;1;0;0
Leodice harassii;8;7;3;0;0;0;0;0;1
Lima lima;0;2;0;0;0;0;0;0;0
Limaria hians;5;1;13;6;2;1;5;1;1
Limaria tuberculata;324;338;76;483;294;537;285;229;222
Lysidice ninetta;0;0;0;0;0;0;0;2;0
Lysidice unicornis;25;2;26;7;43;0;38;34;64
Mimachlamys varia;0;0;0;0;0;0;1;12;0
Modiolus barbatus;0;0;0;8;0;2;1;1;1
Monocorophium sextonae;3;13;0;78;5;34;249;57;230
Musculus costulatus;0;14;0;0;0;1;0;5;0
Myrianida longoprimicirrata;0;0;0;0;0;0;0;2;0
Myrianida quindecimdentata;3;5;3;13;98;29;1;4;4
Myrianida rubropunctata;2;0;0;0;0;0;0;0;1
Nudisyllis pulligera;3;0;2;0;0;1;0;0;0
Ocinebrina aciculata;0;0;0;0;0;0;3;0;0
Octobranchus lingulatus;0;0;0;1;0;1;0;3;0
Odontosyllis gibba;0;0;0;0;0;0;0;0;1
Oithona similis;0;0;0;0;0;0;0;1;1
Onychocorycaeus catus;0;0;0;0;1;0;0;0;0
Ophiacantha setosa;31;51;60;9;22;10;34;86;92
Ostrea edulis;0;0;0;0;0;1;0;0;0
Paracalanus parvus parvus;0;0;0;0;0;0;0;5;0
Paracentrotus lividus;0;0;10;3;0;5;0;3;0
Periclimenes scriptus;0;0;1;0;0;0;0;0;0
Phyllodoce madeirensis;0;0;1;0;0;1;0;2;0
Pilumnus hirtellus;6;0;0;15;0;4;21;38;72
Pinna nobilis;0;0;0;0;0;0;0;15;0
Pisidia bluteli;2;4;0;3;1;1;65;19;13
Platynereis dumerilii;0;0;1;0;104;0;0;1;1
Polycirrus aurantiacus;0;0;0;0;0;0;4;0;0
Proceraea aurantiaca;0;0;0;0;2;0;0;2;0
Proceraea picta;4;0;0;1;0;0;0;0;0
Pseudosyllis brevipennis;0;0;11;0;0;0;0;0;0
Pterocirrus macroceros;7;0;0;0;0;0;0;0;0
Runcina ferruginea;0;0;0;3;2;0;0;0;0
Sabellaria spinulosa;0;0;0;0;2;0;0;0;0
Socarnes filicornis;0;0;6;0;0;1;0;0;0
Syllides fulvus;0;0;0;0;2;1;0;0;0
Syllidia armata;54;26;23;78;60;15;5;13;6
Syllis gerlachi;0;0;2;1;9;0;0;4;8
Syllis hyalina;0;0;0;0;0;0;0;2;0
Synalpheus gambarelloides;160;3;47;9;6;5;3;2;30
Vitreolina antiflexa;0;0;4;2;0;0;0;1;0